datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,days,hours,hoursS,humidityS,spring,summer,fall,winter,better,good,bad,worse
2011-01-20 18:00:00,1,0,1,2,10.66,12.88,56,12.998,518,18,324.00,3136.00,1,0,0,0,0,1,0,0
2011-01-20 19:00:00,1,0,1,1,10.66,11.365,56,22.0028,519,19,361.00,3136.00,1,0,0,0,1,0,0,0
2011-01-20 20:00:00,1,0,1,2,10.66,12.12,60,19.0012,520,20,400.00,3600.00,1,0,0,0,0,1,0,0
2011-01-20 21:00:00,1,0,1,2,9.84,11.365,60,16.9979,521,21,441.00,3600.00,1,0,0,0,0,1,0,0
2011-01-20 22:00:00,1,0,1,2,9.84,10.605,65,19.0012,522,22,484.00,4225.00,1,0,0,0,0,1,0,0
2011-01-20 23:00:00,1,0,1,2,9.84,10.605,65,22.0028,523,23,529.00,4225.00,1,0,0,0,0,1,0,0
2011-01-21 00:00:00,1,0,1,2,9.84,11.365,70,16.9979,524,0,0.00,4900.00,1,0,0,0,0,1,0,0
2011-01-21 01:00:00,1,0,1,2,9.84,11.365,70,16.9979,525,1,1.00,4900.00,1,0,0,0,0,1,0,0
2011-01-21 02:00:00,1,0,1,3,9.84,12.12,75,11.0014,526,2,4.00,5625.00,1,0,0,0,0,0,1,0
2011-01-21 03:00:00,1,0,1,3,9.02,10.605,80,19.9995,527,3,9.00,6400.00,1,0,0,0,0,0,1,0
2011-01-21 04:00:00,1,0,1,2,9.02,12.88,87,6.0032,528,4,16.00,7569.00,1,0,0,0,0,1,0,0
2011-01-21 05:00:00,1,0,1,1,9.84,9.85,60,27.9993,529,5,25.00,3600.00,1,0,0,0,1,0,0,0
2011-01-21 06:00:00,1,0,1,1,9.02,10.605,55,16.9979,530,6,36.00,3025.00,1,0,0,0,1,0,0,0
2011-01-21 07:00:00,1,0,1,1,8.2,9.09,51,19.0012,531,7,49.00,2601.00,1,0,0,0,1,0,0,0
2011-01-21 08:00:00,1,0,1,1,8.2,9.09,47,22.0028,532,8,64.00,2209.00,1,0,0,0,1,0,0,0
2011-01-21 09:00:00,1,0,1,1,8.2,9.09,51,23.9994,533,9,81.00,2601.00,1,0,0,0,1,0,0,0
2011-01-21 10:00:00,1,0,1,1,8.2,8.335,47,31.0009,534,10,100.00,2209.00,1,0,0,0,1,0,0,0
2011-01-21 11:00:00,1,0,1,1,9.02,9.09,41,31.0009,535,11,121.00,1681.00,1,0,0,0,1,0,0,0
2011-01-21 12:00:00,1,0,1,1,9.02,9.09,27,39.0007,536,12,144.00,729.00,1,0,0,0,1,0,0,0
2011-01-21 13:00:00,1,0,1,1,8.2,7.575,21,39.0007,537,13,169.00,441.00,1,0,0,0,1,0,0,0
2011-01-21 14:00:00,1,0,1,1,8.2,7.575,25,35.0008,538,14,196.00,625.00,1,0,0,0,1,0,0,0
2011-01-21 15:00:00,1,0,1,1,6.56,6.06,26,30.0026,539,15,225.00,676.00,1,0,0,0,1,0,0,0
2011-01-21 16:00:00,1,0,1,1,6.56,6.82,26,23.9994,540,16,256.00,676.00,1,0,0,0,1,0,0,0
2011-01-21 17:00:00,1,0,1,1,5.74,6.06,28,23.9994,541,17,289.00,784.00,1,0,0,0,1,0,0,0
2011-01-21 18:00:00,1,0,1,1,4.92,6.06,30,16.9979,542,18,324.00,900.00,1,0,0,0,1,0,0,0
2011-01-21 19:00:00,1,0,1,1,4.92,5.305,30,22.0028,543,19,361.00,900.00,1,0,0,0,1,0,0,0
2011-01-21 20:00:00,1,0,1,1,4.1,3.79,33,27.9993,544,20,400.00,1089.00,1,0,0,0,1,0,0,0
2011-01-21 21:00:00,1,0,1,1,3.28,3.79,38,19.0012,545,21,441.00,1444.00,1,0,0,0,1,0,0,0
2011-01-21 22:00:00,1,0,1,1,2.46,1.515,41,26.0027,546,22,484.00,1681.00,1,0,0,0,1,0,0,0
2011-01-21 23:00:00,1,0,1,1,2.46,2.275,38,22.0028,547,23,529.00,1444.00,1,0,0,0,1,0,0,0
2011-01-22 00:00:00,1,0,0,1,1.64,1.515,45,16.9979,548,0,0.00,2025.00,1,0,0,0,1,0,0,0
2011-01-22 01:00:00,1,0,0,2,1.64,0,41,26.0027,549,1,1.00,1681.00,1,0,0,0,0,1,0,0
2011-01-22 02:00:00,1,0,0,2,1.64,1.515,41,16.9979,550,2,4.00,1681.00,1,0,0,0,0,1,0,0
2011-01-22 03:00:00,1,0,0,2,1.64,1.515,41,19.0012,551,3,9.00,1681.00,1,0,0,0,0,1,0,0
2011-01-22 04:00:00,1,0,0,2,0.82,0.76,48,19.9995,552,4,16.00,2304.00,1,0,0,0,0,1,0,0
2011-01-22 06:00:00,1,0,0,2,0.82,1.515,44,15.0013,553,6,36.00,1936.00,1,0,0,0,0,1,0,0
2011-01-22 07:00:00,1,0,0,1,0.82,0.76,44,19.0012,554,7,49.00,1936.00,1,0,0,0,1,0,0,0
2011-01-22 08:00:00,1,0,0,1,0.82,0,44,22.0028,555,8,64.00,1936.00,1,0,0,0,1,0,0,0
2011-01-22 09:00:00,1,0,0,1,1.64,1.515,41,16.9979,556,9,81.00,1681.00,1,0,0,0,1,0,0,0
2011-01-22 10:00:00,1,0,0,2,1.64,3.03,41,11.0014,557,10,100.00,1681.00,1,0,0,0,0,1,0,0
2011-01-22 11:00:00,1,0,0,2,2.46,3.79,38,8.9981,558,11,121.00,1444.00,1,0,0,0,0,1,0,0
2011-01-22 12:00:00,1,0,0,2,2.46,5.305,38,7.0015,559,12,144.00,1444.00,1,0,0,0,0,1,0,0
2011-01-22 13:00:00,1,0,0,1,3.28,8.335,35,0,560,13,169.00,1225.00,1,0,0,0,1,0,0,0
2011-01-22 14:00:00,1,0,0,1,4.1,6.82,33,7.0015,561,14,196.00,1089.00,1,0,0,0,1,0,0,0
2011-01-22 15:00:00,1,0,0,1,4.92,7.575,28,0,562,15,225.00,784.00,1,0,0,0,1,0,0,0
2011-01-22 16:00:00,1,0,0,1,4.92,6.82,28,12.998,563,16,256.00,784.00,1,0,0,0,1,0,0,0
2011-01-22 17:00:00,1,0,0,1,4.92,9.85,28,0,564,17,289.00,784.00,1,0,0,0,1,0,0,0
2011-01-22 18:00:00,1,0,0,1,3.28,4.545,35,12.998,565,18,324.00,1225.00,1,0,0,0,1,0,0,0
2011-01-22 19:00:00,1,0,0,1,3.28,5.305,35,8.9981,566,19,361.00,1225.00,1,0,0,0,1,0,0,0
2011-01-22 20:00:00,1,0,0,1,2.46,3.79,45,11.0014,567,20,400.00,2025.00,1,0,0,0,1,0,0,0
2011-01-22 21:00:00,1,0,0,1,2.46,5.305,41,6.0032,568,21,441.00,1681.00,1,0,0,0,1,0,0,0
2011-01-22 22:00:00,1,0,0,1,2.46,7.575,49,0,569,22,484.00,2401.00,1,0,0,0,1,0,0,0
2011-01-22 23:00:00,1,0,0,1,1.64,3.79,57,7.0015,570,23,529.00,3249.00,1,0,0,0,1,0,0,0
2011-01-23 00:00:00,1,0,0,1,1.64,3.79,57,7.0015,571,0,0.00,3249.00,1,0,0,0,1,0,0,0
2011-01-23 01:00:00,1,0,0,1,1.64,3.79,57,7.0015,572,1,1.00,3249.00,1,0,0,0,1,0,0,0
2011-01-23 02:00:00,1,0,0,1,0.82,3.03,62,8.9981,573,2,4.00,3844.00,1,0,0,0,1,0,0,0
2011-01-23 03:00:00,1,0,0,1,0.82,3.03,62,8.9981,574,3,9.00,3844.00,1,0,0,0,1,0,0,0
2011-01-23 05:00:00,1,0,0,2,1.64,3.79,57,7.0015,575,5,25.00,3249.00,1,0,0,0,0,1,0,0
2011-01-23 06:00:00,1,0,0,2,1.64,3.79,57,7.0015,576,6,36.00,3249.00,1,0,0,0,0,1,0,0
2011-01-23 07:00:00,1,0,0,1,3.28,5.305,58,11.0014,577,7,49.00,3364.00,1,0,0,0,1,0,0,0
2011-01-23 08:00:00,1,0,0,1,2.46,3.79,62,11.0014,578,8,64.00,3844.00,1,0,0,0,1,0,0,0
2011-01-23 09:00:00,1,0,0,1,4.1,3.79,54,23.9994,579,9,81.00,2916.00,1,0,0,0,1,0,0,0
2011-01-23 10:00:00,1,0,0,1,5.74,5.305,46,26.0027,580,10,100.00,2116.00,1,0,0,0,1,0,0,0
2011-01-23 11:00:00,1,0,0,1,5.74,6.82,43,15.0013,581,11,121.00,1849.00,1,0,0,0,1,0,0,0
2011-01-23 12:00:00,1,0,0,1,6.56,6.06,37,31.0009,582,12,144.00,1369.00,1,0,0,0,1,0,0,0
2011-01-23 13:00:00,1,0,0,1,5.74,5.305,33,26.0027,583,13,169.00,1089.00,1,0,0,0,1,0,0,0
2011-01-23 14:00:00,1,0,0,1,6.56,6.82,28,23.9994,584,14,196.00,784.00,1,0,0,0,1,0,0,0
2011-01-23 15:00:00,1,0,0,1,6.56,6.82,28,23.9994,585,15,225.00,784.00,1,0,0,0,1,0,0,0
2011-01-23 16:00:00,1,0,0,1,6.56,6.82,26,22.0028,586,16,256.00,676.00,1,0,0,0,1,0,0,0
2011-01-23 17:00:00,1,0,0,1,5.74,5.305,26,26.0027,587,17,289.00,676.00,1,0,0,0,1,0,0,0
2011-01-23 18:00:00,1,0,0,1,4.92,6.06,30,16.9979,588,18,324.00,900.00,1,0,0,0,1,0,0,0
2011-01-23 19:00:00,1,0,0,1,4.92,6.06,30,19.0012,589,19,361.00,900.00,1,0,0,0,1,0,0,0
2011-01-23 20:00:00,1,0,0,1,4.1,5.305,36,16.9979,590,20,400.00,1296.00,1,0,0,0,1,0,0,0
2011-01-23 21:00:00,1,0,0,1,4.1,5.305,36,12.998,591,21,441.00,1296.00,1,0,0,0,1,0,0,0
2011-01-23 22:00:00,1,0,0,1,3.28,4.545,38,12.998,592,22,484.00,1444.00,1,0,0,0,1,0,0,0
2011-01-23 23:00:00,1,0,0,1,2.46,3.03,41,15.0013,593,23,529.00,1681.00,1,0,0,0,1,0,0,0
2011-01-24 00:00:00,1,0,1,1,2.46,3.03,41,12.998,594,0,0.00,1681.00,1,0,0,0,1,0,0,0
2011-01-24 01:00:00,1,0,1,1,1.64,2.275,45,12.998,595,1,1.00,2025.00,1,0,0,0,1,0,0,0
2011-01-24 03:00:00,1,0,1,1,1.64,1.515,45,16.9979,596,3,9.00,2025.00,1,0,0,0,1,0,0,0
2011-01-24 04:00:00,1,0,1,1,0.82,3.03,48,8.9981,597,4,16.00,2304.00,1,0,0,0,1,0,0,0
2011-01-24 05:00:00,1,0,1,1,0.82,3.03,48,8.9981,598,5,25.00,2304.00,1,0,0,0,1,0,0,0
2011-01-24 06:00:00,1,0,1,1,0.82,3.79,48,6.0032,599,6,36.00,2304.00,1,0,0,0,1,0,0,0
2011-01-24 07:00:00,1,0,1,1,0.82,6.06,48,0,600,7,49.00,2304.00,1,0,0,0,1,0,0,0
2011-01-24 08:00:00,1,0,1,1,1.64,6.82,49,0,601,8,64.00,2401.00,1,0,0,0,1,0,0,0
2011-01-24 09:00:00,1,0,1,1,2.46,7.575,41,0,602,9,81.00,1681.00,1,0,0,0,1,0,0,0
2011-01-24 10:00:00,1,0,1,1,4.1,6.82,42,0,603,10,100.00,1764.00,1,0,0,0,1,0,0,0
2011-01-24 11:00:00,1,0,1,1,4.1,6.06,46,8.9981,604,11,121.00,2116.00,1,0,0,0,1,0,0,0
2011-01-24 12:00:00,1,0,1,2,4.92,6.82,42,12.998,605,12,144.00,1764.00,1,0,0,0,0,1,0,0
2011-01-24 13:00:00,1,0,1,2,5.74,6.82,43,15.0013,606,13,169.00,1849.00,1,0,0,0,0,1,0,0
2011-01-24 14:00:00,1,0,1,2,5.74,6.82,46,15.0013,607,14,196.00,2116.00,1,0,0,0,0,1,0,0
2011-01-24 15:00:00,1,0,1,1,6.56,8.335,40,11.0014,608,15,225.00,1600.00,1,0,0,0,1,0,0,0
2011-01-24 16:00:00,1,0,1,1,6.56,7.575,47,16.9979,609,16,256.00,2209.00,1,0,0,0,1,0,0,0
2011-01-24 17:00:00,1,0,1,1,5.74,6.06,50,16.9979,610,17,289.00,2500.00,1,0,0,0,1,0,0,0
2011-01-24 18:00:00,1,0,1,1,5.74,6.82,59,12.998,611,18,324.00,3481.00,1,0,0,0,1,0,0,0
2011-01-24 19:00:00,1,0,1,1,5.74,7.575,54,11.0014,612,19,361.00,2916.00,1,0,0,0,1,0,0,0
2011-01-24 20:00:00,1,0,1,1,5.74,6.82,59,12.998,613,20,400.00,3481.00,1,0,0,0,1,0,0,0
2011-01-24 21:00:00,1,0,1,1,5.74,7.575,63,11.0014,614,21,441.00,3969.00,1,0,0,0,1,0,0,0
2011-01-24 22:00:00,1,0,1,2,5.74,6.82,63,15.0013,615,22,484.00,3969.00,1,0,0,0,0,1,0,0
2011-01-24 23:00:00,1,0,1,2,6.56,7.575,64,16.9979,616,23,529.00,4096.00,1,0,0,0,0,1,0,0
2011-01-25 00:00:00,1,0,1,2,6.56,6.82,69,19.0012,617,0,0.00,4761.00,1,0,0,0,0,1,0,0
2011-01-25 01:00:00,1,0,1,2,6.56,8.335,69,11.0014,618,1,1.00,4761.00,1,0,0,0,0,1,0,0
2011-01-25 02:00:00,1,0,1,1,6.56,7.575,69,15.0013,619,2,4.00,4761.00,1,0,0,0,1,0,0,0
2011-01-25 04:00:00,1,0,1,1,5.74,8.335,74,7.0015,620,4,16.00,5476.00,1,0,0,0,1,0,0,0
2011-01-25 05:00:00,1,0,1,1,5.74,6.82,74,15.0013,621,5,25.00,5476.00,1,0,0,0,1,0,0,0
2011-01-25 06:00:00,1,0,1,1,6.56,9.09,74,7.0015,622,6,36.00,5476.00,1,0,0,0,1,0,0,0
2011-01-25 07:00:00,1,0,1,1,6.56,7.575,74,15.0013,623,7,49.00,5476.00,1,0,0,0,1,0,0,0
2011-01-25 08:00:00,1,0,1,2,6.56,9.09,74,8.9981,624,8,64.00,5476.00,1,0,0,0,0,1,0,0
2011-01-25 09:00:00,1,0,1,2,8.2,11.365,64,6.0032,625,9,81.00,4096.00,1,0,0,0,0,1,0,0
2011-01-25 10:00:00,1,0,1,2,9.02,12.12,60,7.0015,626,10,100.00,3600.00,1,0,0,0,0,1,0,0
2011-01-25 11:00:00,1,0,1,2,9.84,12.12,60,8.9981,627,11,121.00,3600.00,1,0,0,0,0,1,0,0
2011-01-25 12:00:00,1,0,1,2,10.66,14.395,56,6.0032,628,12,144.00,3136.00,1,0,0,0,0,1,0,0
2011-01-25 13:00:00,1,0,1,2,10.66,13.635,56,8.9981,629,13,169.00,3136.00,1,0,0,0,0,1,0,0
2011-01-25 14:00:00,1,0,1,2,12.3,16.665,45,0,630,14,196.00,2025.00,1,0,0,0,0,1,0,0
2011-01-25 15:00:00,1,0,1,2,13.12,17.425,42,0,631,15,225.00,1764.00,1,0,0,0,0,1,0,0
2011-01-25 16:00:00,1,0,1,2,13.12,17.425,42,0,632,16,256.00,1764.00,1,0,0,0,0,1,0,0
2011-01-25 17:00:00,1,0,1,1,12.3,16.665,45,0,633,17,289.00,2025.00,1,0,0,0,1,0,0,0
2011-01-25 18:00:00,1,0,1,2,12.3,15.91,49,6.0032,634,18,324.00,2401.00,1,0,0,0,0,1,0,0
2011-01-25 19:00:00,1,0,1,2,10.66,12.88,65,11.0014,635,19,361.00,4225.00,1,0,0,0,0,1,0,0
2011-01-25 20:00:00,1,0,1,1,9.84,11.365,65,12.998,636,20,400.00,4225.00,1,0,0,0,1,0,0,0
2011-01-25 21:00:00,1,0,1,1,9.84,11.365,65,12.998,637,21,441.00,4225.00,1,0,0,0,1,0,0,0
2011-01-25 22:00:00,1,0,1,1,9.02,11.365,64,11.0014,638,22,484.00,4096.00,1,0,0,0,1,0,0,0
2011-01-25 23:00:00,1,0,1,2,9.02,11.365,64,11.0014,639,23,529.00,4096.00,1,0,0,0,0,1,0,0
2011-01-26 00:00:00,1,0,1,2,9.02,11.365,69,8.9981,640,0,0.00,4761.00,1,0,0,0,0,1,0,0
2011-01-26 01:00:00,1,0,1,2,9.84,12.12,65,8.9981,641,1,1.00,4225.00,1,0,0,0,0,1,0,0
2011-01-26 02:00:00,1,0,1,3,9.02,11.365,69,12.998,642,2,4.00,4761.00,1,0,0,0,0,0,1,0
2011-01-26 05:00:00,1,0,1,3,8.2,9.09,86,19.0012,643,5,25.00,7396.00,1,0,0,0,0,0,1,0
2011-01-26 06:00:00,1,0,1,3,8.2,9.09,86,19.0012,644,6,36.00,7396.00,1,0,0,0,0,0,1,0
2011-01-26 07:00:00,1,0,1,3,9.02,10.605,87,19.9995,645,7,49.00,7569.00,1,0,0,0,0,0,1,0
2011-01-26 08:00:00,1,0,1,3,9.02,10.605,87,19.9995,646,8,64.00,7569.00,1,0,0,0,0,0,1,0
2011-01-26 09:00:00,1,0,1,3,9.02,10.605,87,19.9995,647,9,81.00,7569.00,1,0,0,0,0,0,1,0
2011-01-26 10:00:00,1,0,1,3,9.02,10.605,93,19.0012,648,10,100.00,8649.00,1,0,0,0,0,0,1,0
2011-01-26 11:00:00,1,0,1,3,9.02,9.85,93,22.0028,649,11,121.00,8649.00,1,0,0,0,0,0,1,0
2011-01-26 12:00:00,1,0,1,3,9.02,9.85,93,22.0028,650,12,144.00,8649.00,1,0,0,0,0,0,1,0
2011-01-26 13:00:00,1,0,1,3,9.02,9.85,93,22.0028,651,13,169.00,8649.00,1,0,0,0,0,0,1,0
2011-01-26 14:00:00,1,0,1,3,9.02,9.85,93,23.9994,652,14,196.00,8649.00,1,0,0,0,0,0,1,0
2011-01-26 15:00:00,1,0,1,3,9.02,9.09,93,31.0009,653,15,225.00,8649.00,1,0,0,0,0,0,1,0
2011-01-26 16:00:00,1,0,1,4,9.02,9.85,93,22.0028,654,16,256.00,8649.00,1,0,0,0,0,0,0,1
2011-01-26 17:00:00,1,0,1,3,8.2,9.09,93,23.9994,655,17,289.00,8649.00,1,0,0,0,0,0,1,0
2011-01-27 16:00:00,1,0,1,1,9.02,11.365,55,12.998,656,16,256.00,3025.00,1,0,0,0,1,0,0,0
2011-01-27 17:00:00,1,0,1,1,9.02,12.12,55,7.0015,657,17,289.00,3025.00,1,0,0,0,1,0,0,0
2011-01-27 18:00:00,1,0,1,1,8.2,11.365,69,6.0032,658,18,324.00,4761.00,1,0,0,0,1,0,0,0
2011-01-27 19:00:00,1,0,1,1,8.2,11.365,69,6.0032,659,19,361.00,4761.00,1,0,0,0,1,0,0,0
2011-01-27 20:00:00,1,0,1,1,7.38,10.605,74,6.0032,660,20,400.00,5476.00,1,0,0,0,1,0,0,0
2011-01-27 21:00:00,1,0,1,1,7.38,10.605,74,6.0032,661,21,441.00,5476.00,1,0,0,0,1,0,0,0
2011-01-27 22:00:00,1,0,1,1,7.38,10.605,74,6.0032,662,22,484.00,5476.00,1,0,0,0,1,0,0,0
2011-01-27 23:00:00,1,0,1,1,7.38,9.85,80,11.0014,663,23,529.00,6400.00,1,0,0,0,1,0,0,0
2011-01-28 00:00:00,1,0,1,2,8.2,10.605,75,8.9981,664,0,0.00,5625.00,1,0,0,0,0,1,0,0
2011-01-28 01:00:00,1,0,1,2,8.2,10.605,75,8.9981,665,1,1.00,5625.00,1,0,0,0,0,1,0,0
2011-01-28 02:00:00,1,0,1,2,8.2,10.605,75,11.0014,666,2,4.00,5625.00,1,0,0,0,0,1,0,0
2011-01-28 03:00:00,1,0,1,2,8.2,11.365,75,7.0015,667,3,9.00,5625.00,1,0,0,0,0,1,0,0
2011-01-28 05:00:00,1,0,1,2,7.38,10.605,80,7.0015,668,5,25.00,6400.00,1,0,0,0,0,1,0,0
2011-01-28 06:00:00,1,0,1,2,7.38,9.85,80,8.9981,669,6,36.00,6400.00,1,0,0,0,0,1,0,0
2011-01-28 07:00:00,1,0,1,2,6.56,9.85,86,6.0032,670,7,49.00,7396.00,1,0,0,0,0,1,0,0
2011-01-28 08:00:00,1,0,1,2,6.56,9.85,86,6.0032,671,8,64.00,7396.00,1,0,0,0,0,1,0,0
2011-01-28 09:00:00,1,0,1,3,7.38,10.605,86,6.0032,672,9,81.00,7396.00,1,0,0,0,0,0,1,0
2011-01-28 10:00:00,1,0,1,3,7.38,10.605,86,7.0015,673,10,100.00,7396.00,1,0,0,0,0,0,1,0
2011-01-28 11:00:00,1,0,1,3,7.38,10.605,93,7.0015,674,11,121.00,8649.00,1,0,0,0,0,0,1,0
2011-01-28 12:00:00,1,0,1,3,7.38,10.605,93,7.0015,675,12,144.00,8649.00,1,0,0,0,0,0,1,0
2011-01-28 13:00:00,1,0,1,3,7.38,10.605,93,7.0015,676,13,169.00,8649.00,1,0,0,0,0,0,1,0
2011-01-28 14:00:00,1,0,1,3,9.02,13.635,80,0,677,14,196.00,6400.00,1,0,0,0,0,0,1,0
2011-01-28 15:00:00,1,0,1,2,8.2,12.88,86,0,678,15,225.00,7396.00,1,0,0,0,0,1,0,0
2011-01-28 16:00:00,1,0,1,1,9.02,13.635,80,0,679,16,256.00,6400.00,1,0,0,0,1,0,0,0
2011-01-28 17:00:00,1,0,1,1,9.84,12.12,75,8.9981,680,17,289.00,5625.00,1,0,0,0,1,0,0,0
2011-01-28 18:00:00,1,0,1,1,9.84,11.365,75,12.998,681,18,324.00,5625.00,1,0,0,0,1,0,0,0
2011-01-28 19:00:00,1,0,1,2,9.84,12.12,75,8.9981,682,19,361.00,5625.00,1,0,0,0,0,1,0,0
2011-01-28 20:00:00,1,0,1,2,9.84,11.365,70,12.998,683,20,400.00,4900.00,1,0,0,0,0,1,0,0
2011-01-28 21:00:00,1,0,1,2,9.02,11.365,75,8.9981,684,21,441.00,5625.00,1,0,0,0,0,1,0,0
2011-01-28 22:00:00,1,0,1,1,9.84,10.605,65,23.9994,685,22,484.00,4225.00,1,0,0,0,1,0,0,0
2011-01-28 23:00:00,1,0,1,1,9.84,11.365,60,15.0013,686,23,529.00,3600.00,1,0,0,0,1,0,0,0
2011-01-29 00:00:00,1,0,0,1,9.02,9.85,64,23.9994,687,0,0.00,4096.00,1,0,0,0,1,0,0,0
2011-01-29 01:00:00,1,0,0,1,9.02,11.365,64,12.998,688,1,1.00,4096.00,1,0,0,0,1,0,0,0
2011-01-29 02:00:00,1,0,0,1,9.02,11.365,64,11.0014,689,2,4.00,4096.00,1,0,0,0,1,0,0,0
2011-01-29 03:00:00,1,0,0,1,8.2,10.605,64,8.9981,690,3,9.00,4096.00,1,0,0,0,1,0,0,0
2011-01-29 04:00:00,1,0,0,1,6.56,9.09,69,7.0015,691,4,16.00,4761.00,1,0,0,0,1,0,0,0
2011-01-29 06:00:00,1,0,0,1,6.56,9.09,64,8.9981,692,6,36.00,4096.00,1,0,0,0,1,0,0,0
2011-01-29 07:00:00,1,0,0,1,6.56,9.09,59,7.0015,693,7,49.00,3481.00,1,0,0,0,1,0,0,0
2011-01-29 08:00:00,1,0,0,1,7.38,9.85,55,11.0014,694,8,64.00,3025.00,1,0,0,0,1,0,0,0
2011-01-29 09:00:00,1,0,0,1,7.38,10.605,59,6.0032,695,9,81.00,3481.00,1,0,0,0,1,0,0,0
2011-01-29 10:00:00,1,0,0,2,7.38,10.605,64,7.0015,696,10,100.00,4096.00,1,0,0,0,0,1,0,0
2011-01-29 11:00:00,1,0,0,2,7.38,9.85,64,8.9981,697,11,121.00,4096.00,1,0,0,0,0,1,0,0
2011-01-29 12:00:00,1,0,0,2,8.2,9.85,59,12.998,698,12,144.00,3481.00,1,0,0,0,0,1,0,0
2011-01-29 13:00:00,1,0,0,2,9.02,11.365,55,11.0014,699,13,169.00,3025.00,1,0,0,0,0,1,0,0
2011-01-29 14:00:00,1,0,0,2,9.02,11.365,60,8.9981,700,14,196.00,3600.00,1,0,0,0,0,1,0,0
2011-01-29 15:00:00,1,0,0,1,9.02,10.605,69,16.9979,701,15,225.00,4761.00,1,0,0,0,1,0,0,0
2011-01-29 16:00:00,1,0,0,1,9.84,12.12,60,11.0014,702,16,256.00,3600.00,1,0,0,0,1,0,0,0
2011-01-29 17:00:00,1,0,0,1,9.84,14.395,60,0,703,17,289.00,3600.00,1,0,0,0,1,0,0,0
2011-01-29 18:00:00,1,0,0,1,9.02,11.365,69,8.9981,704,18,324.00,4761.00,1,0,0,0,1,0,0,0
2011-01-29 19:00:00,1,0,0,2,9.02,10.605,69,16.9979,705,19,361.00,4761.00,1,0,0,0,0,1,0,0
2011-01-29 20:00:00,1,0,0,1,7.38,10.605,74,6.0032,706,20,400.00,5476.00,1,0,0,0,1,0,0,0
2011-01-29 21:00:00,1,0,0,1,7.38,10.605,74,6.0032,707,21,441.00,5476.00,1,0,0,0,1,0,0,0
2011-01-29 22:00:00,1,0,0,1,6.56,9.85,80,6.0032,708,22,484.00,6400.00,1,0,0,0,1,0,0,0
2011-01-29 23:00:00,1,0,0,1,6.56,9.85,80,6.0032,709,23,529.00,6400.00,1,0,0,0,1,0,0,0
2011-01-30 00:00:00,1,0,0,1,6.56,9.09,80,7.0015,710,0,0.00,6400.00,1,0,0,0,1,0,0,0
2011-01-30 01:00:00,1,0,0,1,5.74,10.605,80,0,711,1,1.00,6400.00,1,0,0,0,1,0,0,0
2011-01-30 02:00:00,1,0,0,1,6.56,11.365,80,0,712,2,4.00,6400.00,1,0,0,0,1,0,0,0
2011-01-30 03:00:00,1,0,0,1,5.74,10.605,93,0,713,3,9.00,8649.00,1,0,0,0,1,0,0,0
2011-01-30 04:00:00,1,0,0,1,5.74,10.605,93,0,714,4,16.00,8649.00,1,0,0,0,1,0,0,0
